Date,Open,High,Low,Close,Volume,Adj Close
2015-02-04,165.779999,165.830002,164.240005,164.809998,2363600,160.582067
2015-02-03,165.169998,166.190002,164.710007,165.940002,2604800,161.683083
2015-02-02,162.119995,164.619995,160.889999,164.419998,2379700,160.202072
2015-01-30,164.75,165.220001,162.300003,162.300003,3561900,158.136462
2015-01-29,164.070007,166.160004,162.880005,166.130005,2674600,161.868212
2015-01-28,164.610001,166.570007,163.759995,163.940002,3574600,159.73439
2015-01-27,162.309998,165.139999,160.940002,163.630005,4190700,159.432345
2015-01-26,163.619995,164.279999,161.800003,164.240005,3556300,160.026697
2015-01-23,165.75,165.979996,163.910004,164.020004,2245600,159.81234
2015-01-22,163.259995,165.990005,162.130005,165.889999,2225800,161.634363
2015-01-21,161.660004,163.369995,161.020004,162.539993,1597700,158.370296
2015-01-20,162.720001,163.399994,160.059998,161.940002,2091800,157.785697
2015-01-16,159.860001,162.179993,159.089996,162.00,2349700,157.844155
2015-01-15,159.839996,161.440002,159.369995,159.660004,1876800,155.564188
2015-01-14,159.039993,160.529999,158.50,159.839996,1983500,155.739563
2015-01-13,162.229996,164.380005,159.449997,160.619995,2703000,156.499552
2015-01-12,162.389999,162.389999,160.020004,160.740005,2149200,156.616484
2015-01-09,163.850006,164.00,161.270004,161.619995,2373800,157.473899
2015-01-08,160.649994,163.690002,160.520004,163.630005,3142900,159.432345
2015-01-07,159.899994,160.279999,158.940002,159.800003,3081300,155.700596
2015-01-06,160.820007,161.369995,157.740005,158.649994,3532000,154.580088
2015-01-05,163.00,163.639999,160.080002,160.360001,3692900,156.246227
2015-01-02,164.710007,165.080002,162.729996,164.059998,2116400,159.851307
2014-12-31,166.00,167.169998,164.199997,164.320007,1623700,160.104647
2014-12-30,166.550003,166.740005,165.279999,165.839996,1180700,161.585643
2014-12-29,166.300003,167.119995,165.809998,166.710007,1215700,162.433335
2014-12-26,167.339996,167.809998,166.149994,166.259995,1607400,161.994867
2014-12-24,166.169998,167.610001,166.169998,166.960007,981600,162.676921
2014-12-23,168.020004,168.160004,166.869995,166.869995,2190200,162.589219
2014-12-22,166.220001,167.309998,166.139999,167.270004,2081600,162.978966
2014-12-19,164.779999,166.089996,164.360001,165.479996,4891300,161.234877
2014-12-18,162.399994,165.300003,162.00,165.300003,3359800,161.059502
2014-12-17,159.289993,160.889999,157.779999,160.600006,3942600,156.480076
2014-12-16,157.259995,161.440002,157.080002,159.050003,3380800,154.969836
2014-12-15,158.119995,158.440002,155.589996,156.850006,2609300,152.826276
2014-12-12,158.559998,158.990005,157.119995,157.119995,2820600,153.089339
2014-12-11,159.179993,160.220001,158.419998,159.149994,2437300,155.067261
2014-12-10,160.710007,160.809998,157.699997,158.240005,3243700,154.180617
2014-12-09,159.889999,161.100006,159.110001,160.830002,2043100,156.704172
2014-12-08,162.100006,162.800003,160.100006,160.929993,1898300,156.801597
2014-12-05,162.399994,162.899994,161.880005,162.270004,1722600,158.107233
2014-12-04,162.00,162.919998,160.899994,162.259995,2164200,158.09748
2014-12-03,161.100006,162.440002,160.169998,162.259995,3038800,158.09748
2014-12-02,158.779999,160.779999,158.539993,160.600006,2500400,156.480076
2014-12-01,158.350006,159.509995,157.860001,158.160004,2502100,154.102668
2014-11-28,159.580002,160.820007,158.800003,160.089996,1565500,155.98315
2014-11-26,157.970001,158.449997,157.50,158.309998,1823200,154.248814
2014-11-25,159.00,159.679993,158.059998,158.059998,3644300,154.005227
2014-11-24,160.160004,160.559998,159.410004,159.880005,2358000,155.778545
2014-11-21,160.309998,160.860001,159.589996,160.160004,2472000,156.051361
2014-11-20,158.190002,159.550003,157.839996,159.360001,1749000,155.271881
2014-11-19,159.330002,159.410004,157.970001,158.830002,2314300,154.755478
2014-11-18,158.880005,160.460007,158.850006,160.149994,2311400,155.208547
2014-11-17,158.089996,159.160004,158.089996,158.690002,1674300,153.793603
2014-11-14,158.529999,158.880005,157.710007,158.850006,1786300,153.94867
2014-11-13,158.00,159.070007,157.479996,158.350006,2375000,153.464098
2014-11-12,156.649994,157.869995,156.50,157.679993,1500700,152.814758
2014-11-11,157.949997,158.00,156.649994,157.110001,1806600,152.262353
2014-11-10,156.25,157.710007,156.050003,157.660004,1463500,152.795385
2014-11-07,156.149994,156.619995,155.479996,156.550003,1882800,151.719634
2014-11-06,155.690002,156.679993,155.210007,156.050003,2067200,151.235062
2014-11-05,155.679993,156.240005,154.139999,155.690002,2770400,150.886169
2014-11-04,153.919998,155.229996,153.240005,155.050003,3128600,150.265917
2014-11-03,153.139999,154.389999,152.979996,153.300003,2367500,148.569913
2014-10-31,153.830002,154.440002,153.089996,153.770004,3016300,149.025412
2014-10-30,150.490005,152.399994,150.00,152.100006,1836500,147.406942
2014-10-29,151.389999,151.729996,150.199997,151.009995,2060600,146.350563
2014-10-28,149.830002,151.130005,149.559998,151.059998,2358800,146.399023
2014-10-27,148.089996,149.710007,147.339996,149.559998,2840000,144.945306
2014-10-24,145.00,148.789993,144.809998,148.589996,4480900,144.005234
2014-10-23,141.919998,147.919998,141.919998,145.050003,7424400,140.574468
2014-10-22,140.899994,141.089996,138.699997,138.949997,4294300,134.662678
2014-10-21,138.399994,141.100006,138.339996,140.929993,3078400,136.581581
2014-10-20,137.149994,137.75,136.759995,137.600006,2782500,133.354342
2014-10-17,135.75,137.850006,135.75,137.399994,3746400,133.160501
2014-10-16,133.419998,135.970001,132.75,135.050003,3497200,130.883019
2014-10-15,132.559998,134.639999,130.600006,134.220001,4794700,130.078627
2014-10-14,133.649994,135.940002,133.210007,134.179993,3644300,130.039853
2014-10-13,134.259995,135.350006,131.009995,132.899994,4583400,128.799349
2014-10-10,139.330002,139.600006,133.820007,133.830002,7366500,129.700661
2014-10-09,141.149994,141.50,138.330002,138.639999,3768000,134.362246
2014-10-08,138.25,141.479996,137.720001,141.410004,4135500,137.046781
2014-10-07,138.820007,140.179993,137.660004,137.679993,3144900,133.43186
2014-10-06,140.550003,141.279999,139.589996,140.339996,2464700,136.009789
2014-10-03,139.330002,140.449997,138.570007,140.169998,3514100,135.845036
2014-10-02,138.570007,139.320007,137.949997,138.669998,3221300,134.391319
2014-10-01,141.160004,141.669998,138.720001,139.179993,2925900,134.885577
2014-09-30,142.50,142.899994,141.279999,141.679993,2675100,137.30844
2014-09-29,140.940002,142.339996,140.660004,142.190002,2848300,137.802713
2014-09-26,142.520004,142.889999,140.979996,142.419998,3557700,138.025612
2014-09-25,144.410004,144.460007,142.070007,142.479996,2764200,138.083758
2014-09-24,144.169998,145.119995,143.720001,144.880005,2608200,140.409715
2014-09-23,145.229996,145.600006,144.350006,144.369995,2049700,139.915442
2014-09-22,146.919998,147.00,145.50,145.710007,2231000,141.214107
2014-09-19,147.419998,147.869995,146.520004,146.690002,8106200,142.163865
2014-09-18,145.699997,147.059998,145.690002,146.839996,2364800,142.309231
2014-09-17,144.919998,145.789993,144.270004,145.369995,2757000,140.884587
2014-09-16,143.800003,144.990005,143.589996,144.850006,1945100,140.380642
2014-09-15,144.169998,144.690002,143.660004,144.479996,1868000,140.022048
2014-09-12,144.449997,144.449997,143.50,143.940002,2135400,139.498717
2014-09-11,143.990005,144.380005,143.600006,144.350006,1465400,139.896069
2014-09-10,144.630005,144.990005,144.00,144.639999,1558800,140.177115
2014-09-09,144.699997,145.259995,144.25,144.460007,1745400,140.002676
2014-09-08,144.410004,145.449997,144.110001,144.889999,2446100,140.419401
2014-09-05,143.639999,144.320007,143.149994,144.199997,1989100,139.750689
2014-09-04,144.210007,144.649994,143.350006,143.610001,1549800,139.178897
2014-09-03,144.470001,144.720001,143.550003,143.820007,1533600,139.382424
2014-09-02,143.300003,144.610001,143.300003,144.220001,1578800,139.770076
2014-08-29,144.059998,144.389999,143.179993,144.00,1537800,139.556863
2014-08-28,143.320007,144.119995,143.020004,143.979996,1314100,139.537476
2014-08-27,144.429993,144.860001,143.630005,143.940002,1402200,139.498717
2014-08-26,145.00,145.389999,144.570007,144.600006,1808100,140.138356
2014-08-25,144.660004,144.990005,144.419998,144.699997,1012900,140.235261
2014-08-22,144.50,144.830002,144.020004,144.130005,1547500,139.682856
2014-08-21,144.779999,144.990005,144.350006,144.50,1475800,140.041435
2014-08-20,143.860001,144.820007,143.50,144.600006,2298800,140.138356
2014-08-19,144.470001,145.009995,143.809998,144.25,1592500,138.970528
2014-08-18,142.75,144.190002,142.589996,144.119995,1852900,138.845282
2014-08-15,142.809998,142.979996,141.020004,141.919998,1960900,136.725803
2014-08-14,142.00,142.389999,141.850006,142.339996,1586900,137.13043
2014-08-13,141.350006,141.830002,140.919998,141.800003,3104300,136.6102
2014-08-12,140.619995,141.210007,140.429993,140.880005,2176100,135.723873
2014-08-11,140.929993,141.50,140.539993,140.580002,1919100,135.43485
2014-08-08,139.300003,140.889999,138.889999,140.850006,2702600,135.694972
2014-08-07,140.050003,140.369995,138.960007,139.130005,1892500,134.037922
2014-08-06,139.139999,139.940002,138.429993,139.550003,2679000,134.442549
2014-08-05,140.619995,141.119995,139.339996,139.779999,2168500,134.664127
2014-08-04,140.149994,140.979996,139.210007,140.75,2494500,135.598626
2014-08-01,140.149994,141.039993,139.080002,140.110001,2505800,134.982051
2014-07-31,143.330002,143.550003,140.600006,140.889999,3571100,135.733502
2014-07-30,144.259995,144.779999,143.520004,143.740005,2458400,138.479199
2014-07-29,145.220001,146.270004,143.990005,144.020004,2286600,138.74895
2014-07-28,144.919998,145.630005,143.779999,145.529999,2002200,140.20368
2014-07-25,145.660004,145.940002,144.589996,145.119995,1601800,139.808682
2014-07-24,145.509995,146.429993,144.470001,145.130005,2580000,139.818325
2014-07-23,145.339996,145.449997,144.529999,144.679993,1849400,139.384783
2014-07-22,144.889999,145.669998,144.889999,145.119995,1608200,139.808682
2014-07-21,144.660004,144.869995,143.649994,144.300003,1520900,139.018701
2014-07-18,143.830002,145.059998,143.539993,144.830002,2133000,139.529302
2014-07-17,145.330002,145.669998,143.449997,143.539993,2776500,138.286507
2014-07-16,145.279999,146.25,145.029999,146.169998,1969200,140.820256
2014-07-15,145.00,145.479996,144.360001,145.059998,1955700,139.75088
2014-07-14,144.990005,145.710007,144.75,145.00,2114600,139.693079
2014-07-11,144.139999,144.490005,143.539993,144.309998,1907900,139.02833
2014-07-10,143.50,144.199997,143.240005,143.889999,2070100,138.623704
2014-07-09,144.779999,145.039993,144.029999,144.679993,1521800,139.384783
2014-07-08,145.220001,145.399994,144.479996,144.559998,1596700,139.26918
2014-07-07,145.479996,145.580002,144.50,144.910004,1257900,139.606376
2014-07-03,145.25,145.729996,145.00,145.410004,1142200,140.088076
2014-07-02,144.229996,145.300003,143.559998,145.229996,1621300,139.914657
2014-07-01,143.410004,144.820007,143.380005,144.559998,1767600,139.26918
2014-06-30,143.919998,143.929993,143.059998,143.240005,1878400,137.997499
2014-06-27,143.169998,144.070007,143.059998,143.690002,1981800,138.431026
2014-06-26,143.75,143.990005,142.559998,143.729996,1490900,138.469556
2014-06-25,143.00,144.380005,142.880005,143.649994,1321800,138.392482
2014-06-24,143.710007,144.619995,143.050003,143.089996,1404500,137.85298
2014-06-23,145.100006,145.300003,144.009995,144.089996,1390200,138.816381
2014-06-20,144.539993,145.300003,144.199997,145.160004,4204600,139.847226
2014-06-19,144.529999,144.720001,143.990005,144.490005,1560500,139.20175
2014-06-18,143.929993,144.389999,142.770004,144.330002,1340700,139.047602
2014-06-17,143.009995,143.990005,142.639999,143.690002,1209400,138.431026
2014-06-16,142.929993,143.529999,142.600006,143.320007,1274300,138.074573
2014-06-13,143.190002,143.75,142.830002,143.360001,1376200,138.113102
2014-06-12,144.949997,144.949997,142.779999,143.070007,1839400,137.833723
2014-06-11,144.660004,144.970001,144.190002,144.410004,1489900,139.124676
2014-06-10,144.970001,145.210007,144.460007,144.970001,1700000,139.664178
2014-06-09,144.639999,145.529999,144.610001,145.320007,1800900,140.001374
2014-06-06,143.990005,144.639999,143.529999,144.639999,1768700,139.346254
2014-06-05,142.759995,143.740005,141.899994,143.710007,1542300,138.450298
2014-06-04,142.910004,143.00,142.259995,142.259995,1335700,137.053356
2014-06-03,142.080002,143.130005,141.610001,142.889999,2061700,137.660303
2014-06-02,142.270004,142.910004,141.690002,142.320007,1682300,137.111172
2014-05-30,142.110001,142.669998,141.779999,142.550003,3908500,137.33275
2014-05-29,141.50,142.429993,141.190002,142.389999,1624100,137.178603
2014-05-28,141.809998,141.899994,141.059998,141.429993,1566100,136.253732
2014-05-27,141.50,141.600006,141.130005,141.440002,1512300,136.263375
2014-05-23,140.229996,141.179993,140.050003,141.139999,1209400,135.974352
