

20MICRONS
GLODYNE
GLORY
GMBREW
GMDCLTD
GMRINFRA
GNFC
GOACARBON
GODFRYPHLP
GODREJCP
GODREJIND
GODREJPROP
GOENKA
GOKEX
GOKUL
GOLDENTOBC
GOLDIAM
GOLDINFRA
GOLDTECH
GPIL
GPPL
GRABALALK
GRANULES
GRAPHITE
GRASIM
GREAVESCOT
GREENPLY 
GREENPOWER
GRINDWELL
GRUH
GSFC
GSKCONS
GSLNOVA
GSPL
GSSAMERICA
GTL
GTLINFRA
GTNIND
GTOFFSHORE
GUFICBIO
GUJALKALI
GUJAPOLLO
GUJFLUORO
GUJNRECOKE

    

    

    GUJSTATFIN

    

    
HALONIX
HANUNG
HARITASEAT
HARRMALAYA
HATHWAY
HAVELLS
HBLPOWER
HBSTOCK
HCC
HCIL
HCL-INSYS
HCLTECH
HDFC
HDFCBANK
HDIL
HEG
HEIDELBERG
HELIOSMATH
HERCULES
HERITGFOOD
HEROHONDA
HEXAWARE
HFCL
HGSL
HIKAL
HILTON
HIMATSEIDE
HINDALCO
HINDCOMPOS
HINDCOPPER
HINDDORROL
HINDMOTORS
HINDNATGLS
HINDOILEXP
HINDPETRO
HINDSYNTEX
HINDUJAFO
HINDUJAVEN
HINDUNILVR
HINDZINC
HIRECT
HITACHIHOM
HITECHGEAR
HITECHPLAS
HMT
HMVL
HOCL
HONAUT
HONDAPOWER
HOPFL
HORIZONINF
HOTELEELA
HOTELRUGBY
HOVS
HSIL
HTMEDIA
HYDRBADIND
IBN18
IBPOW
IBREALEST
IBSEC
ICICIBANK
ICIL
ICRA
ICSA
IDBI
IDEA
IDFC
IFBAGRO
IFBIND
IFCI
IFGLREFRAC
IGARASHI
IGL
IGPL
IITL
IL&FSENGG
IL&FSTRANS
IMFA
IMPAL
IMPEXFERRO
INDBANK 
INDHOTEL
INDIABULLS
INDIACEM
INDIAGLYCO
INDIAINFO
INDIANB
INDIANCARD
INDIANHUME
INDLMETER
INDNIPPON
INDOASIFU
INDOCO
INDORAMA
INDOSOLAR
INDOTECH
INDOWIND
INDRAMEDCO
INDSWFTLAB
INDSWFTLTD
INDUSFILA
INDUSINDBK
INEABS
INFINITE
INFOMEDIA
INFY
INFOTECENT
INGERRAND
INGVYSYABK
INNOIND
INOXLEISUR
INSECTICID
IOB
IOC
IOLCP
IOLN
IPCALAB
IRB
ISFT
ISMTLTD
ISPATIND
ITC
ITDCEM
ITI
IVC
IVP
IVRCLAH
IVRCLINFRA
J&KBANK
JAGRAN
JAGSNPHARM
JAIBALAJI
JAICORPLTD
JAINSTUDIO
JAMNAAUTO
JAYAGROGN
JAYBARMARU
JAYNECOIND
JAYSREETEA
JBCHEPHARM
JBFIND
JBMA
JCTEL
JENSONICOL
JETAIRWAYS
JEYPORE
JHS
JIKIND
JINDALPHOT
JINDALPOLY
JINDALSAW
JINDALSTEL
JINDALSWHL
JINDCOT
JINDRILL
JINDWORLD
JISLJALEQS
JKCEMENT
JKIL
JKLAKSHMI
JKPAPER
JKTYRE
JMCPROJECT
JMFINANCIL
JMTAUTOLTD
JOCIL
JPASSOCIAT
JPINFRATEC
JPPOWER
JSL
JSWENERGY
JSWSTEEL
JUBILANT
JUBLFOOD
JUBLINDS
JVLAGRO
JYOTHYLAB
JYOTISTRUC
KABRAEXTRU
KAJARIACER
KAKATCEM
KALECONSUL
KALINDEE
KALPATPOWR
KALYANIFRG
KAMATHOTEL
KANDAGIRI
KANORICHEM
KANSAINER
KARURVYSYA
KAUSHALYA
KAVVERITEL
KBIL
KCP
KCPSUGIND
KEC
KECL
KEI
KEMROCK
KERNEX
KESARENT
KESORAMIND
KEYCORPSER
KFA
KGL
KHAITANELE
KHAITANLTD
KHANDSE
KICL
KIL
KILITCH
KINETICMOT
KIRIINDUS
KIRLOSBROS
KIRLOSENG
KIRLOSIND
KITPLYIND
KKCL
KLGSYSTEL
KMSUGAR
KNRCON
KOHINOOR
KOLTEPATIL
KOPDRUGS
KOPRAN
KOTAKBANK
KOTARISUG
KOTHARIPET
KOTHARIPRO
KOUTONS
KPIT
KPRMILL
KRBL
KRISHNAENG
KSBPUMPS
KSCL
KSERASERA
KSK
KSL
KSOILS
KTIL
KTKBANK
LAKPRE
LAKSHMIEFL
LAKSHVILAS
LANCOIN
LAOPALA
LAXMIMACH
LGBBROSLTD
LGBFORGE
LIBERTSHOE
LICHSGFIN
LITL
LLOYDELENG
LLOYDFIN
LLOYDSTEEL
LML
LOGIXMICRO
LOKESHMACH
LOTUSEYE
LOVABLE
LPDC
LT
LUMAXAUTO
LUMAXIND
LUMAXTECH
LUPIN
LYKALABS
